typename,message,component,location,detail,active,invoked,acknowledged,cancelled,python_context
ProgramUpdateFailed,User program failed because of an AttributeError exception.,lab.emission.pm.proportional_factor.program,<Local>,"AttributeError exception was caused by the following line in the user defined program in lab.emission.pm.proportional_factor.program:
    tunnel_flowrate_actual_scfm = lab.emission.dilution.vmix.traditional.value
The complete text of the exception is:
AttributeError(""'ContainerParameter' object has no attribute 'vmix'"",)

The complete stack is as follows:
  File ""./threading.py"", line 503, in __bootstrap
  File ""./threading.py"", line 530, in __bootstrap_inner
  File ""c:\Program Files (x86)\Scimitar\Scimitar\daq\timingloop.py"", line 200, in run
    self.tick()
  File ""c:\Program Files (x86)\Scimitar\Scimitar\daq\timingloop.py"", line 133, in tick
    emit(""compute"",c)
  File ""c:\Program Files (x86)\Scimitar\Scimitar\parameter\programmable.py"", line 450, in _update
    self.parent.update(ProgrammableParameter._update(self,centraltimer,counter))
  File ""c:\Program Files (x86)\Scimitar\Scimitar\parameter\programmable.py"", line 359, in _update
    tb = self._format_user_exception()
  File ""c:\Program Files (x86)\Scimitar\Scimitar\parameter\programmable.py"", line 345, in _format_user_exception
    stack = """".join(traceback.format_stack())
",True,2017-12-20 10:55:59.834000,,,"('parameter.programmable', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\programmable.py', 370)"
MeasurementSourceMissingAlarm,Value unknown because daq device is missing.,lab.ambient.pressure.from_weather.sea_level_pressure,<Local>,,True,2017-12-20 10:56:07.835000,,,"('parameter.timeseries', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\timeseries.py', 333)"
MeasurementSourceMissingAlarm,Value unknown because daq device is missing.,lab.ambient.pressure.from_dewtrak,<Local>,,True,2017-12-20 10:56:07.837000,,,"('parameter.timeseries', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\timeseries.py', 333)"
MeasurementSourceMissingAlarm,Value unknown because daq device is missing.,lab.emission.pm.filter.filter1.temperature,<Local>,,True,2017-12-20 10:56:07.838000,,,"('parameter.timeseries', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\timeseries.py', 333)"
MeasurementSourceMissingAlarm,Value unknown because daq device is missing.,lab.emission.pm.flow.total,<Local>,,True,2017-12-20 10:56:07.839000,,,"('parameter.timeseries', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\timeseries.py', 333)"
MeasurementSourceMissingAlarm,Value unknown because daq device is missing.,lab.emission.pm.flow.flow,<Local>,,True,2017-12-20 10:56:07.840000,,,"('parameter.timeseries', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\timeseries.py', 333)"
MeasurementSourceMissingAlarm,Value unknown because daq device is missing.,lab.emission.pm.flow.flow.temperature,<Local>,,True,2017-12-20 10:56:07.841000,,,"('parameter.timeseries', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\timeseries.py', 333)"
MeasurementSourceMissingAlarm,Value unknown because daq device is missing.,lab.emission.pm.heated_line,<Local>,,True,2017-12-20 10:56:07.842000,,,"('parameter.timeseries', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\timeseries.py', 333)"
MeasurementSourceMissingAlarm,Value unknown because daq device is missing.,lab.emission.pm.box,<Local>,,True,2017-12-20 10:56:07.843000,,,"('parameter.timeseries', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\timeseries.py', 333)"
MeasurementSourceMissingAlarm,Value unknown because daq device is missing.,lab.emission.gas.temperature.oven,<Local>,,True,2017-12-20 10:56:07.844000,,,"('parameter.timeseries', 'c:\\Program Files (x86)\\Scimitar\\Scimitar\\parameter\\timeseries.py', 333)"
